SampleID,CqSAMP_B2M,CqSAMP_TEL,RTL_resp_CAL,RTL_No_CAL,Plate,ExtrMethod
BR501,25.62981828,13.1445418,0.710033801,0.963688962,20150416_Soay_PGcomparison2,PG
BR501,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR501,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR501,25.44691453,12.86783257,0.8078556,1.024450815,20150417_Soay_PGcomparison3,PG
BR501,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR501,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR501,25.52117961,13.19837455,0.721680996,0.867587745,20150417_Soay_PGcomparison4,PG
BR501,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR501,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR501,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR501,25.28831648,13.14927657,0.80175512,0.772144365,20150420_Soay_SCcomparison5,SC
BR501,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR501,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR501,25.31197741,13.24100109,0.821004933,0.740949294,20150420_Soay_SCcomparison6,SC
BR501,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR501,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR501,25.60013415,13.04599026,0.848966177,1.003325698,20150421_Soay_SCcomparison7,SC
BR501,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR501,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR501,25.53052629,13.44738342,0.846888852,0.746052128,20150421_Soay_SCcomparison8,SC
BR501,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR184,25.73163343,13.09728933,0.954832079,1.058467643,20150416_Soay_PGcomparison1,PG
BR184,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR184,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR184,26.05492486,13.42655443,0.772917325,1.049037231,20150416_Soay_PGcomparison2,PG
BR184,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR184,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR184,25.93701631,13.14641038,0.920034203,1.16670577,20150417_Soay_PGcomparison3,PG
BR184,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR184,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR184,25.9646909,13.56163506,0.756661408,0.90964036,20150417_Soay_PGcomparison4,PG
BR184,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR184,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR184,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR184,25.52597991,13.22591925,0.88722735,0.854459897,20150420_Soay_SCcomparison5,SC
BR184,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR184,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR184,25.53152102,13.44333446,0.831011472,0.749980099,20150420_Soay_SCcomparison6,SC
BR184,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR184,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR184,25.73812438,13.11103265,0.888691005,1.050273319,20150421_Soay_SCcomparison7,SC
BR184,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR184,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR184,25.66350391,13.34404938,0.98238272,0.865413115,20150421_Soay_SCcomparison8,SC
BR184,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR568,25.86891172,13.26303535,0.935640466,1.037193006,20150416_Soay_PGcomparison1,PG
BR568,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR568,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR568,26.01855286,13.50571842,0.717773547,0.974193685,20150416_Soay_PGcomparison2,PG
BR568,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR568,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR568,25.95697298,13.22074905,0.888220713,1.126362715,20150417_Soay_PGcomparison3,PG
BR568,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR568,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR568,25.93374162,13.6374647,0.706844795,0.849752011,20150417_Soay_PGcomparison4,PG
