SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
5,NA,NA,NA,NA,NA,NA,Puregene 4,PU
5,NA,NA,NA,NA,NA,NA,Puregene 4,PU
5,25.8707001,14.3458083,0.838613571,1.104162666,0.000615174,0.932597319,SpinColumn 1,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
5,25.73504329,14.89274247,0.756599962,0.929202222,0.000851005,0.610755905,SpinColumn 2,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
5,25.91567744,14.55064835,0.910136271,1.051,0.000625355,0.843927735,SpinColumn 3,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
5,25.79217278,14.98856302,0.705886134,0.89803336,0.000892346,0.598804205,SpinColumn 4,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
5,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
5,25.80284015,14.4506084,0.640141602,0.915893833,0.000749588,0.838944808,PlateExtr 1,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
5,25.84237378,14.84844014,0.753328806,0.987,0.000850716,0.673219213,PlateExtr 2,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
5,25.83228773,14.40338383,0.680913204,0.95,0.000708062,0.879733019,PlateExtr 3,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
5,25.83424104,14.89388552,0.749187775,0.883,0.000828855,0.651211382,PlateExtr 4,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
5,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
6,25.06346878,13.09673357,0.975927636,0.975927636,0.000570976,1.247262594,Puregene 1,PU
6,NA,NA,NA,NA,NA,NA,Puregene 1,PU
6,NA,NA,NA,NA,NA,NA,Puregene 1,PU
6,25.13319877,13.29136113,1.164044698,1.164044698,0.000563109,1.146059321,Puregene 2,PU
6,NA,NA,NA,NA,NA,NA,Puregene 2,PU
6,NA,NA,NA,NA,NA,NA,Puregene 2,PU
6,25.22721376,13.30255195,1.211266604,1.211266604,0.000550397,1.207808764,Puregene 3,PU
6,NA,NA,NA,NA,NA,NA,Puregene 3,PU
6,NA,NA,NA,NA,NA,NA,Puregene 3,PU
6,25.16966152,13.57391617,1.174431179,1.174431179,0.000652502,0.978386293,Puregene 4,PU
6,NA,NA,NA,NA,NA,NA,Puregene 4,PU
6,NA,NA,NA,NA,NA,NA,Puregene 4,PU
6,26.05808813,14.35484044,0.938487721,1.235662217,0.000549707,1.043664402,SpinColumn 1,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
6,25.93085529,14.79409924,0.909102374,1.11649483,0.000708249,0.733861576,SpinColumn 2,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
